path,type,size,git_blob_sha,sha256_if_available,scientific_role,needed_for_thesis,copied,reason_not_copied
artifacts/audits/magnitude_inversion.json,json,632975,485d6d106359db8480d23b4a24135a31f2e27ee7,ca8f96d600223e6694e95710d1360bef4514c6037936f1ea2b75a0bc84d3de52,copied compact evidence,true,true,
artifacts/bootstrap/p3_g1_bootstrap.json,json,3686,bbfa1167d4cf5048ed61e5703a91f04446581476,77c7d974c088d94ef6e31082410c5775c1028d1e00058426e905ab41dd7c46cf,copied compact evidence,true,true,
artifacts/evidence_closure/bootstrap_corrected_v1_1.json,json,44969,bd308db31aa92e79d65870ea986fd13810a11e40,172ea8c2e2d2103a1e50635ed9681e6a35e4c763e630ae0a7a192555169caaf2,copied compact evidence,true,true,
artifacts/evidence_closure/evidence_semantic_correction_v1_1.json,json,33513,a530a98b9d1d89bb3c1a8462616a8a7e8f1edc1e,2fe3811996508a3bd79dd7cbd620da54a10e04c7a570d39b9d8303e06cf52419,copied compact evidence,true,true,
artifacts/evidence_closure/final_decision_v1_1.json,json,6809,165262018f00fde0db444a9f579f63d3028917ca,2eb5b567a16b5b4f24c17fa9814509185d9de30167914dabd421d05afe8869de,copied compact evidence,true,true,
artifacts/evidence_closure/input_manifest.json,json,31781,20d7f56333c16ee8d324a3a1fde917b60d026fcb,3727b5e6d1c86f793b5b0e5a75a5ba94213474594b10fe3c845c5e40d232669d,copied compact evidence,true,true,
artifacts/evidence_closure/metric_reconstruction_v1_1.json,json,35960,6efb80e1c0e91a49dd3a724bd8870da78814d9ff,0cfc89c2bf48abeabb931a668522a80ba7cf7121f30fed3344fae866202e78c3,copied compact evidence,true,true,
artifacts/evidence_closure/provenance_normalization_v1_1.json,json,3286,2caba916dc969a26c6d80544159dea3d2d03286f,c4e33556ee4fb271b79c27ce626123f59eb54da41adacac5f1940dcc51d418bb,copied compact evidence,true,true,
artifacts/evidence_closure/telemetry_information_loss_v1_1.json,json,13133,ecce29f1643e14e7b24cf9b5cbab4937c6e4d8e2,5c553845b3527247649bffa40c7685278a23a0467895103c2f11b4c569f42898,copied compact evidence,true,true,
artifacts/evidence_closure/trace_error_representation_invariant.json,json,98610,cdecd9fdb09b2745eeaff171bda4fe7cdc3db43a,f191b068fb1a38d72f85e847db2e65bb5739aba72f3b01b586b89acfc950f8b6,copied compact evidence,true,true,
artifacts/features/p3_a05_audit.json,json,109100,a2b2d7e095e8c0dffc0d0f698d9d6254c32d3d4c,8558032a419b76dc6a8afd73c863515a9cb46303a9df59e57ec2a2577871f287,supporting source artifact,true,false,Not copied because the thesis package keeps only compact evidence needed for its tables.
artifacts/features/re2ob/manifest.json,json,46824,13b27d81a0166f247ba74356c999c3347772662a,cc171f32c7642c6ddbe59b5b52bb6f8351dd8d8a35289144277900bbbb1da4ed,supporting source artifact,true,false,Not copied because the thesis package keeps only compact evidence needed for its tables.
artifacts/features/re2ob/re2ob-0433b8cb47b1ec8e.npz,npz,25112,a6e9447e1ae521310676f7ac17c68704f59ace66,1d13c39dc3cf3a672d4e914c42138de6987b011938ef26a6d83c481bfeb9f263,large frozen feature or model-state array,false,false,"Large array is not duplicated; its path, size, Git blob, and SHA-256 are indexed."
artifacts/features/re2ob/re2ob-048f2e7d7bfbc927.npz,npz,26269,e43a26b1f598f55538227290a7066f5af14f172f,bee2d64c861553a1b86a1ac9f788df41ce5e37d452c432dcfac18f816632329c,large frozen feature or model-state array,false,false,"Large array is not duplicated; its path, size, Git blob, and SHA-256 are indexed."
artifacts/features/re2ob/re2ob-057fe49bd30d47c0.npz,npz,25349,e3c8f3e9a70663f7ffa79fd69fe8d09809167e04,f3233b65fcf17f3080d765f4e1e17fb5fa39c0bc047270d5e8b7145717ceae41,large frozen feature or model-state array,false,false,"Large array is not duplicated; its path, size, Git blob, and SHA-256 are indexed."
