path,source_commit,git_blob_sha,title,evidence_class,thesis_use,citation_allowed,superseded_by,copied,asset_path,notes
docs/ANCHOR_FEASIBILITY_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,acce7c8ad626379a95acb82dcda7793b98a43d20,Anchor Robustness Feasibility Audit,DIAGNOSTIC,limitation or post-hoc diagnostic; not confirmatory,true,,true,docs/supporting/ANCHOR_FEASIBILITY_AUDIT.md,
docs/BASELINE_COMPATIBILITY_MATRIX.md,9342e06db91945be2e44703437229ba45b18bda8,428bc50deb97c7628393b0a16fbfc103d583e9b2,Performance-Blind RCAEval Baseline Compatibility Matrix,OUT_OF_SCOPE,excluded from this Ada-RCA-only asset package,false,,false,,Baseline/external-comparison context is deliberately outside this Ada-RCA-only package.
docs/BENCHMARK_COMPATIBILITY.md,9342e06db91945be2e44703437229ba45b18bda8,5ed2d3af0c15c5ea537d44e1a2b015451d26fc8b,P3-R0 Benchmark Compatibility,OUT_OF_SCOPE,excluded from this Ada-RCA-only asset package,false,,false,,Baseline/external-comparison context is deliberately outside this Ada-RCA-only package.
docs/BOOTSTRAP_FORENSIC_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,fa13039401471c70cbebbf992310d6358eb6d305,Bootstrap Forensic Audit,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/BOOTSTRAP_FORENSIC_AUDIT.md,
docs/DATASET_AUDIT_RE2.md,9342e06db91945be2e44703437229ba45b18bda8,e5645fc3d7824ecb59aa39b9f02f6cea1015c911,P3-A0 RE2 Dataset Audit,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/DATASET_AUDIT_RE2.md,
docs/EVALUATION_PROTOCOL.md,9342e06db91945be2e44703437229ba45b18bda8,738578f0254aea50aeb10e2af428cacd5fb4c160,Evaluation Protocol,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/EVALUATION_PROTOCOL.md,
docs/EVIDENCE_ERRATA.md,9342e06db91945be2e44703437229ba45b18bda8,3ad78a4f0407b51a959105413a49e6f8f561cac7,RCA Evidence Errata,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/EVIDENCE_ERRATA.md,
docs/EVIDENCE_LEVEL_SEMANTIC_CORRECTION.md,9342e06db91945be2e44703437229ba45b18bda8,fc9e145c531fc674c05d412b1ee80c2740f3af50,Evidence-Level Semantic Correction V1.1,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/EVIDENCE_LEVEL_SEMANTIC_CORRECTION.md,
docs/FINAL_AUDIT_PROTOCOL_DEVIATIONS.md,9342e06db91945be2e44703437229ba45b18bda8,333e9b2893340c0e8de52bb821ed741d4bcb8a62,Final Ada-RCA Audit Protocol Deviations,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/FINAL_AUDIT_PROTOCOL_DEVIATIONS.md,
docs/FINAL_EVIDENCE_SUMMARY.md,9342e06db91945be2e44703437229ba45b18bda8,4d87dfdeccd3ca16735d3c8b8cb6ea56e6be4962,Ada-RCA Final Evidence Summary,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/FINAL_EVIDENCE_SUMMARY.md,
docs/FINAL_METHOD_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,6ad10877223127a476c0e81fce24b67fc7b19692,Ada-RCA Final Method Decision,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/FINAL_METHOD_DECISION.md,
docs/FINAL_METHOD_REPLAY_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,da803c0fb50089fd609c2c36c82105d8e4519b70,Final Ada-RCA Method Replay Audit,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/FINAL_METHOD_REPLAY_AUDIT.md,
docs/FINAL_RCA_CONTROL_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,e92e4c831a5a5b989f8bf0a99f1cbfd6d636e8db,Final Ada-RCA Structural and Shortcut Control Audit,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/FINAL_RCA_CONTROL_AUDIT.md,
docs/INDEPENDENT_METRIC_RECONSTRUCTION_V1_1.md,9342e06db91945be2e44703437229ba45b18bda8,f296abcc5b413686bfc1bd15ff5bd9c9ad3e5e80,Independent Frozen Rank-Metric Reconstruction V1.1,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/INDEPENDENT_METRIC_RECONSTRUCTION_V1_1.md,
docs/LEAKAGE_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,5aa689b9f5dd78b0e86bff851e2e8f9c93b1ffc8,P3-A0 Leakage Audit,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/LEAKAGE_AUDIT.md,
docs/LEGACY_ASSET_MAP.md,9342e06db91945be2e44703437229ba45b18bda8,c957176aa6c1feb2d51882894ce9f6b36db404e3,Legacy Ada-MGAD RCA Asset Map,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,RCA_EVIDENCE_INDEX.md; RCA_THESIS_CLAIM_MATRIX.md,true,docs/historical_superseded/LEGACY_ASSET_MAP.md,
docs/MAGNITUDE_INVERSION_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,30318b016b11d46e8f02ec5c195c7f1152435b65,Magnitude-Inversion Audit,DIAGNOSTIC,limitation or post-hoc diagnostic; not confirmatory,true,,true,docs/supporting/MAGNITUDE_INVERSION_AUDIT.md,
docs/OPT_DATASET_SPECIFIC_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,3da6fbe11d76d0ec44abc91dc32a933e89783f94,PER-DATASET-OPT Results,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/OPT_DATASET_SPECIFIC_RESULTS.md,
docs/OPT_FINAL_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,25cbe679ddf0a37aa17beafbe66c3af652d99323,Final Decision,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/OPT_FINAL_DECISION.md,
